,PointID,Date,Longitude,Latitude,Value,Number,Name
0,1,12.07.21,152.978432,-27.402946,0.0 mm,540111,Mitchelton AL
1,2,13.07.21,152.979144,-27.380594,0.0 mm,540121,Everton Hills AL
