#####START_HYDROGRAPHS_KED_01_00000
     Time    Rain  Rainperv    Qtop      Qbot      Qper      Qimp    Qinto_OS   Qout_OS  Stage
   1065.0    0.00    0.00    64.239    78.939     0.587     0.000    79.526    79.526     0.000
   1080.0    2.40    0.00    56.817    69.779     0.499     0.375    70.653    70.653     0.000
   1095.0    1.60    0.00    50.109    61.832     0.426     0.272    62.530    62.530     0.000
   1110.0    0.00    0.00    44.218    54.836     0.366     0.016    55.218    55.218     0.000
   1125.0    0.00    0.00    39.347    48.739     0.317     0.001    49.057    49.057     0.000
   1140.0    0.00    0.00    35.100    43.470     0.275     0.000    43.745    43.745     0.000
   1155.0    0.00    0.00    31.380    38.883     0.240     0.000    39.122    39.122     0.000
   1170.0    0.00    0.00    28.112    34.866     0.210     0.000    35.075    35.075     0.000
   1185.0    0.00    0.00    25.234    31.333     0.184     0.000    31.517    31.517     0.000
   1200.0    0.00    0.00    22.689    28.215     0.163     0.000    28.377    28.377     0.000
   1215.0    0.00    0.00    20.434    25.453     0.144     0.000    25.597    25.597     0.000
   1230.0    0.00    0.00    18.428    23.000     0.128     0.000    23.127    23.127     0.000
   1245.0    0.00    0.00    16.640    20.814     0.114     0.000    20.928    20.928     0.000
   1260.0    0.00    0.00    15.045    18.862     0.102     0.000    18.964    18.964     0.000
   1275.0    0.00    0.00    13.620    17.115     0.091     0.000    17.206    17.206     0.000
   1290.0    0.00    0.00    12.344    15.550     0.082     0.000    15.632    15.632     0.000
   1305.0    0.00    0.00    11.202    14.144     0.074     0.000    14.218    14.218     0.000
   1320.0    0.00    0.00    10.178    12.882     0.067     0.000    12.948    12.948     0.000
   1335.0    0.00    0.00     9.259    11.745     0.061     0.000    11.806    11.806     0.000
   1350.0    0.00    0.00     8.433    10.722     0.055     0.000    10.777    10.777     0.000
   1365.0    0.00    0.00     7.691     9.799     0.050     0.000     9.849     9.849     0.000
   1380.0    0.00    0.00     7.024     8.966     0.046     0.000     9.012     9.012     0.000
   1395.0    0.00    0.00     6.423     8.214     0.042     0.000     8.255     8.255     0.000
   1410.0    0.00    0.00     5.881     7.534     0.038     0.000     7.572     7.572     0.000
   1425.0    0.00    0.00     5.391     6.918     0.035     0.000     6.953     6.953     0.000
   1440.0    0.00    0.00     4.949     6.360     0.032     0.000     6.392     6.392     0.000
   1455.0    0.00    0.00     4.550     5.854     0.029     0.000     5.884     5.884     0.000
#####END_HYDROGRAPHS_KED_01_00000
#####START_HYDROGRAPHS_CTC_01_00000
     Time    Rain  Rainperv    Qtop      Qbot      Qper      Qimp    Qinto_OS   Qout_OS  Stage
      0.0    0.00    0.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000
     15.0    0.60    0.00     0.026     0.001     0.000     0.027     0.027     0.027     0.000
     30.0    0.56    0.00     0.029     0.003     0.000     0.025     0.028     0.028     0.000
     45.0    0.56    0.00     0.034     0.007     0.000     0.025     0.031     0.031     0.000
     60.0    4.52    2.02     0.273     0.028     0.028     0.201     0.257     0.257     0.000
     75.0    1.40    0.00     0.200     0.067     0.025     0.062     0.154     0.154     0.000
     90.0    1.40    0.00     0.228     0.097     0.022     0.062     0.182     0.182     0.000
    105.0    1.40    0.00     0.258     0.130     0.020     0.062     0.212     0.212     0.000
    120.0    1.40    0.00     0.285     0.163     0.018     0.062     0.243     0.243     0.000
    135.0    1.40    0.00     0.311     0.196     0.016     0.062     0.274     0.274     0.000
    150.0    1.40    0.00     0.336     0.228     0.014     0.062     0.304     0.304     0.000
    165.0    1.40    0.00     0.362     0.260     0.013     0.062     0.334     0.334     0.000
    180.0    1.40    0.00     0.390     0.290     0.011     0.062     0.364     0.364     0.000
    195.0    1.40    0.00     0.417     0.321     0.010     0.062     0.394     0.394     0.000
    210.0    1.40    0.00     0.447     0.352     0.009     0.062     0.423     0.423     0.000
    225.0    1.40    0.00     0.475     0.383     0.008     0.062     0.453     0.453     0.000
    240.0    4.52    2.02     0.727     0.446     0.042     0.201     0.688     0.688     0.000
    255.0   10.80    8.30     1.543     0.656     0.239     0.479     1.375     1.375     0.000
